"n_features","strategy","meanAcc","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","acc_7","acc_8","acc_9","acc_10","acc_11","acc_12","acc_13","acc_14","acc_15","acc_16","acc_17","acc_18","acc_19","acc_20","acc_21","acc_22","acc_23","acc_24","acc_25"
220,"inclusion",0.835384615384615,0.857142857142857,0.642857142857143,0.923076923076923,0.846153846153846,0.857142857142857,0.923076923076923,0.785714285714286,0.714285714285714,0.769230769230769,0.928571428571429,0.785714285714286,0.928571428571429,0.785714285714286,0.923076923076923,0.846153846153846,0.692307692307692,0.857142857142857,0.769230769230769,0.928571428571429,0.857142857142857,0.714285714285714,1,0.857142857142857,0.846153846153846,0.846153846153846
225,"inclusion",0.85032967032967,0.928571428571429,0.692307692307692,0.923076923076923,0.857142857142857,0.785714285714286,0.857142857142857,0.846153846153846,0.714285714285714,0.923076923076923,0.857142857142857,0.785714285714286,0.923076923076923,0.714285714285714,0.928571428571429,1,0.769230769230769,0.923076923076923,0.857142857142857,0.785714285714286,0.857142857142857,0.692307692307692,0.928571428571429,0.857142857142857,0.928571428571429,0.923076923076923
230,"inclusion",0.851208791208791,0.846153846153846,0.928571428571429,0.571428571428571,0.769230769230769,0.928571428571429,0.642857142857143,1,0.846153846153846,0.857142857142857,1,0.923076923076923,0.714285714285714,0.923076923076923,0.857142857142857,0.857142857142857,1,1,0.785714285714286,0.769230769230769,0.714285714285714,0.785714285714286,0.923076923076923,0.857142857142857,0.857142857142857,0.923076923076923
235,"inclusion",0.828791208791209,0.846153846153846,0.857142857142857,0.923076923076923,0.857142857142857,0.714285714285714,0.857142857142857,0.615384615384615,0.714285714285714,0.714285714285714,0.769230769230769,0.857142857142857,0.923076923076923,0.769230769230769,1,0.714285714285714,0.857142857142857,0.769230769230769,0.928571428571429,0.769230769230769,0.928571428571429,0.769230769230769,0.857142857142857,1,0.923076923076923,0.785714285714286
240,"inclusion",0.854065934065934,0.714285714285714,0.785714285714286,0.846153846153846,0.923076923076923,0.928571428571429,0.928571428571429,0.857142857142857,0.785714285714286,1,0.769230769230769,0.769230769230769,0.928571428571429,0.923076923076923,0.714285714285714,0.785714285714286,0.846153846153846,1,0.785714285714286,0.857142857142857,0.857142857142857,0.928571428571429,0.923076923076923,0.785714285714286,0.923076923076923,0.785714285714286
245,"inclusion",0.853186813186813,1,0.857142857142857,0.846153846153846,0.785714285714286,0.642857142857143,0.923076923076923,0.857142857142857,0.928571428571429,0.769230769230769,0.785714285714286,1,0.846153846153846,0.846153846153846,0.857142857142857,0.785714285714286,0.785714285714286,0.857142857142857,0.846153846153846,1,0.769230769230769,0.769230769230769,0.857142857142857,0.928571428571429,1,0.785714285714286
250,"inclusion",0.835824175824176,0.928571428571429,0.846153846153846,0.615384615384615,0.857142857142857,1,0.923076923076923,0.857142857142857,0.5,0.846153846153846,0.857142857142857,0.846153846153846,0.923076923076923,0.928571428571429,0.928571428571429,0.642857142857143,0.714285714285714,0.769230769230769,0.785714285714286,1,0.857142857142857,0.857142857142857,0.785714285714286,0.923076923076923,0.857142857142857,0.846153846153846
255,"inclusion",0.871208791208791,0.857142857142857,1,0.928571428571429,0.923076923076923,0.714285714285714,0.857142857142857,0.846153846153846,0.857142857142857,0.785714285714286,1,0.785714285714286,0.857142857142857,1,0.785714285714286,0.769230769230769,0.846153846153846,0.928571428571429,0.928571428571429,0.857142857142857,0.923076923076923,0.857142857142857,0.769230769230769,0.928571428571429,0.928571428571429,0.846153846153846
260,"inclusion",0.846813186813187,0.857142857142857,0.846153846153846,0.928571428571429,0.857142857142857,0.769230769230769,1,0.846153846153846,0.785714285714286,0.846153846153846,0.857142857142857,0.571428571428571,0.928571428571429,0.923076923076923,0.857142857142857,0.769230769230769,0.857142857142857,0.846153846153846,0.785714285714286,0.846153846153846,1,0.928571428571429,0.846153846153846,0.846153846153846,0.714285714285714,0.857142857142857
265,"inclusion",0.855384615384615,0.692307692307692,0.785714285714286,0.857142857142857,0.857142857142857,0.923076923076923,0.857142857142857,0.846153846153846,0.857142857142857,0.857142857142857,0.923076923076923,0.785714285714286,0.769230769230769,0.769230769230769,1,1,0.928571428571429,0.769230769230769,0.846153846153846,0.857142857142857,0.857142857142857,0.923076923076923,0.928571428571429,0.785714285714286,0.923076923076923,0.785714285714286
270,"inclusion",0.826593406593407,0.846153846153846,0.714285714285714,0.714285714285714,0.785714285714286,1,0.857142857142857,0.642857142857143,0.928571428571429,1,0.846153846153846,0.857142857142857,0.928571428571429,0.857142857142857,0.846153846153846,0.769230769230769,0.857142857142857,0.846153846153846,0.769230769230769,0.785714285714286,0.785714285714286,0.928571428571429,0.857142857142857,0.769230769230769,0.857142857142857,0.615384615384615
